word,m.11,m.12,m.13,m.14,m.15,m.16,m.17,m.18,m.19,m.20,m.21,m.22,m.23,m.24
"#",0,0,0,0,0,0,0,0,0,0,7,18,17,33
"##",0,0,0,0,0,0,0,0,0,0,0,1,2,1
"&a",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"&at",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"&b",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"&blw",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"&bobe",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"&c",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"&ch",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&chchch",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"&co",0,0,0,0,1,0,0,0,0,0,0,1,0,1
"&cou",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"&eje",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&eu",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"&euuuh",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"&ff",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"&i",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"&ko",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"&kîkî",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"&l",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"&la",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"&li",0,0,0,0,18,0,0,0,0,0,0,0,0,1
"&m",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"&ma",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&n",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"&oli",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"&ou",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&p",0,0,0,0,0,0,0,0,0,0,1,0,2,0
"&ple",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&r",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"&reg",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"&s",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&teje",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"&ttt",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"&ç",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"'",1,0,2,0,3,0,1,0,1,0,0,1,2,0
"*",87,215,331,215,315,367,222,247,140,128,114,157,286,315
"*x",0,0,0,0,0,0,0,1,0,0,0,0,0,0
",tu",0,0,0,0,0,0,0,0,0,1,0,0,0,0
",›",0,0,0,0,0,0,0,0,0,0,0,0,3,0
";ham",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"a",73,216,336,281,262,267,325,403,346,292,487,781,808,755
"a'",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"a-fait",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"a-t-il",0,0,0,0,0,0,0,0,1,0,0,0,1,0
"aa",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"aaː",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"aba",0,0,0,3,0,0,1,0,0,0,0,0,0,0
"abababa",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"abandon",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"abandonne",2,0,0,0,0,0,0,0,0,0,0,0,1,0
"abandonner",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"abandonnes",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"abandonné",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"abdominos",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"abeille",0,0,3,2,2,4,3,0,6,3,0,1,0,0
"abeilles",0,0,0,0,0,1,0,1,0,0,0,0,0,2
"abime",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"abiment",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"abimer",0,0,0,0,0,0,1,1,1,2,0,0,1,0
"abimes",0,0,0,0,0,0,1,0,1,0,1,0,0,0
"abimé",0,0,0,0,0,0,0,0,0,1,1,1,0,1
"abimée",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"abobeubeubeu",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"aboie",0,0,0,0,0,0,0,0,0,0,1,0,5,0
"abon",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"abonner",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"abord",2,4,5,5,10,2,2,6,2,3,10,16,29,22
"abõ",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"abracadabra",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"abricot",0,1,0,0,0,0,0,4,0,0,0,0,0,1
"abricots",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"abris",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"abrutit",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"abrège",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"abréger",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"absolument",0,0,0,2,1,1,1,0,0,0,2,0,4,1
"abstraites",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"abîmait",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"abîme",0,0,0,0,0,0,1,0,3,1,1,1,0,2
"abîmer",0,0,1,2,0,0,1,1,2,1,2,1,3,2
"abîmes",0,1,0,1,0,4,1,0,1,0,0,1,1,2
"abîmé",1,0,0,0,0,0,0,0,2,0,1,4,1,3
"abîmée",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"abîmées",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"accent",0,0,1,0,0,0,0,1,0,0,0,0,1,0
